"report_date","posts_per_day","total_impressions","total_engagement","followers_gained","impression_ranges"
2025-11-04,1,35879,729,210,high impressions
2025-11-06,1,5695,262,157,low impressions
2025-11-05,1,68121,1112,151,high impressions
2025-11-10,1,67089,966,128,high impressions
2025-11-03,1,150694,1508,124,high impressions
2025-11-27,1,3620,280,119,low impressions
2025-11-11,1,7835,199,119,low impressions
2025-11-17,1,41432,526,115,high impressions
2025-11-26,1,41071,972,102,high impressions
2025-11-09,0,0,0,85,No post
2025-11-07,1,3129,153,82,low impressions
2025-11-08,1,23193,700,77,medium impressions
2025-11-18,1,3790,259,73,low impressions
2025-11-13,1,15427,447,69,medium impressions
2025-11-28,1,2162,160,69,low impressions
2025-11-12,1,3212,253,63,low impressions
2025-11-20,1,7654,329,61,low impressions
2025-11-25,1,13733,569,59,medium impressions
2025-11-19,1,8766,566,54,low impressions
2025-11-30,1,3908,272,54,low impressions
2025-11-14,1,1596,118,51,low impressions
2025-11-15,1,6878,293,50,low impressions
2025-11-29,1,12857,406,41,medium impressions
2025-11-21,1,2265,185,36,low impressions
2025-11-24,1,7019,419,30,low impressions
2025-11-01,1,5095,241,28,low impressions
2025-11-16,0,0,0,24,No post
2025-11-22,1,2939,249,22,low impressions
2025-11-23,0,0,0,15,No post
2025-11-02,0,0,0,11,No post
